resightID,animalID,season,date,area,regionID,markobs,markobspos,markadded,markaddedpos,obssex,obsage,pctmolt,comment,markcomment,dead,observer,entrydate,entry,estimated,shark,unsure ,cookiecutter
228675,20352,2012,2/1/12,BBN,2,YX__,R,NA,NA,F,ad,NA,shark bite,NA,0,C. Goetsch,2/2/12,E. Pickett,0,Comment Includes 'Shark',0,0
234533,15793,2013,5/22/12,MBB,2,NA,NA,NA,NA,F,ad,100,shark bite scar on middle of the back,NA,0,S. Peterson,5/22/12,S. Peterson,0,Comment Includes 'Shark',0,0
237498,10127,1993,4/20/93,TS,2,NA,NA,NA,NA,F,Y,0,Awful skin - seems to have barely escaped a shark. Very small.,NA,0,P. Morris,1/1/13,X. Rojas-Rocha,0,Comment Includes 'Shark',0,0
239293,20924,2013,1/18/13,NP,3,NA,NA,NA,NA,F,Ad,NA,"Not sure that this is the correct female but it fits pretty well.  This female has a few cooie cutter shark scars on her mid right side , one deep, others shallow",NA,0,P. Morris,1/20/13,P. Morris,0,Comment Includes 'Shark',0,1
239453,20924,2013,1/21/13,NP,3,NA,NA,NA,NA,F,Ad,NA,"cookie cutter shark scars right side, one deep, others shallow",NA,0,P. Morris,1/22/13,P. Morris,0,Comment Includes 'Shark',,
240595,3201,2013,1/30/13,Pt. Reyes,12,NA,NA,NA,NA,F,ad,NA,Seen at Point Reyes. Had very large shark bite on her. Pictures sent to Sarah Peterson from Sarah Codde.,NA,0,other,1/31/13,S. Peterson,0,Comment Includes 'Shark',,
241924,42150,2013,2/6/13,BMS,2,NA,NA,NA,NA,F,Ad,NA,light cookie cutter shark scar just above right ankle,NA,0,P. Morris,2/7/13,P. Morris,0,Comment Includes 'Shark',,
242324,1784,2013,2/7/13,NPB2-3,3,94,L,NA,NA,F,Ad,NA,lots of cookie cutter shark scars,NA,0,P. Morris,2/9/13,P. Morris,0,Comment Includes 'Shark',,
249455,38342,2014,10/31/13,BMS,2,NA,NA,NA,NA,NA,Juv,NA,"2 big cookie cutter shark bites on neck and chest, think is animal 38342",NA,0,S. Peterson,10/31/13,S. Peterson,0,Comment Includes 'Shark',,
250395,41084,2014,11/13/13,BBN,2,NA,NA,NA,NA,M,Juv,NA,Animal has two massive cookie cutter sharks on belly,NA,0,S. Peterson,11/18/13,S. Peterson,0,Comment Includes 'Shark',,
